"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 01 14:46:32 UTC 2022","Tue Nov 01 14:46:36 UTC 2022","4150","","Free trial and Talk to an Expert pages","","","","TC12 - Should display ""Free trial"" form",""
"passed","Tue Nov 01 14:46:01 UTC 2022","Tue Nov 01 14:46:03 UTC 2022","1837","","Sign Up page","","","","TC04 - Should sign up on GitLab with Saleforce",""
"passed","Tue Nov 01 14:45:29 UTC 2022","Tue Nov 01 14:45:33 UTC 2022","3759","","Navigation main page","","","","TC08 - Should navigate to ""Pricing"" section",""
"passed","Tue Nov 01 14:45:47 UTC 2022","Tue Nov 01 14:45:55 UTC 2022","7954","","Sign Up page","","","","TC01 - Should sign up on GitLab with valid credentials",""
"passed","Tue Nov 01 14:45:09 UTC 2022","Tue Nov 01 14:45:20 UTC 2022","10739","","Navigation main page","","","","TC05 - Should navigate to ""Why GitLab"" section",""
"passed","Tue Nov 01 14:45:59 UTC 2022","Tue Nov 01 14:46:01 UTC 2022","1915","","Sign Up page","","","","TC03 - Should sign up on GitLab with empty credentials",""
"passed","Tue Nov 01 14:45:22 UTC 2022","Tue Nov 01 14:45:25 UTC 2022","2978","","Navigation main page","","","","TC07 - Should navigate to ""Solutions"" section",""
"passed","Tue Nov 01 14:46:09 UTC 2022","Tue Nov 01 14:46:11 UTC 2022","2208","","Support services","","","","TC17 - Should navigate user to Get Help page",""
"passed","Tue Nov 01 14:45:42 UTC 2022","Tue Nov 01 14:45:45 UTC 2022","2478","","Search work","","","","TC15 - Should redirect user to sign in form frome search page",""
"passed","Tue Nov 01 14:45:20 UTC 2022","Tue Nov 01 14:45:22 UTC 2022","2063","","Navigation main page","","","","TC06 - Should navigate to ""Platform"" section",""
"passed","Tue Nov 01 14:45:35 UTC 2022","Tue Nov 01 14:45:39 UTC 2022","3418","","Search work","","","","TC13 - Should check search work",""
"passed","Tue Nov 01 14:46:04 UTC 2022","Tue Nov 01 14:46:09 UTC 2022","4459","","Support services","","","","TC16 - Should navigate user to Contact Support",""
"passed","Tue Nov 01 14:46:21 UTC 2022","Tue Nov 01 14:46:25 UTC 2022","3595","","Support services","","","","TC20 - Should navigate user to registration page",""
"passed","Tue Nov 01 14:45:27 UTC 2022","Tue Nov 01 14:45:29 UTC 2022","2176","","Navigation main page","","","","TC10 - Should navigate to ""Resources"" section",""
"passed","Tue Nov 01 14:45:39 UTC 2022","Tue Nov 01 14:45:42 UTC 2022","3704","","Search work","","","","TC14 - Should check search suggestions work",""
"passed","Tue Nov 01 14:45:55 UTC 2022","Tue Nov 01 14:45:59 UTC 2022","3972","","Sign Up page","","","","TC02 - Should sign up on GitLab with invalid credentials",""
"passed","Tue Nov 01 14:46:16 UTC 2022","Tue Nov 01 14:46:21 UTC 2022","5408","","Support services","","","","TC19 - Should navigate user to Talk to an Expert page",""
"passed","Tue Nov 01 14:46:27 UTC 2022","Tue Nov 01 14:46:32 UTC 2022","5378","","Free trial and Talk to an Expert pages","","","","TC11 - Should display ""Talk to an expert"" form",""
"passed","Tue Nov 01 14:45:25 UTC 2022","Tue Nov 01 14:45:27 UTC 2022","2368","","Navigation main page","","","","TC09 - Should navigate to ""Partners"" section",""
"passed","Tue Nov 01 14:46:11 UTC 2022","Tue Nov 01 14:46:16 UTC 2022","4310","","Support services","","","","TC18 - Should navigate user to GitLab Professional Services",""
